snapshot_id,status,created_date,valence,recency,LifeEventFamily,Anticipation,Intimacy,Scope,age,gender,shipley_vocab,shipley_abs,openness,conscientiousness,extraversion,agreeableness,neuroticism,pos_affect,neg_affect,stai_trait,psqi,education_level,sleep
12840161237957324034,Ongoing,2018-03-16,0,890,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.6
12840161237957324034,Ongoing,2018-03-20,1,886,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-20,0,886,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-25,0,881,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-26,0,880,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-03-26,0,880,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-03-31,1,875,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-03-31,0,875,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-03-17,0,889,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.6
12840161237957324034,Ongoing,2018-03-19,1,887,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-20,1,886,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-25,0,881,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-25,1,881,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-26,0,880,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-03-21,0,885,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,Ongoing,2018-03-29,1,877,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-04-04,1,871,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,9.333
12840161237957324034,Ongoing,2018-03-30,1,876,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.75
12840161237957324034,Ongoing,2018-03-09,0,897,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,8.0
12840161237957324034,Ongoing,2018-03-25,0,881,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
12840161237957324034,ended,2018-04-17,1,858,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.667
12840161237957324034,ended,2018-04-17,1,858,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,7.667
12840161237957324034,Ongoing,2018-03-22,1,884,Personal,Unanticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,5.5
11156103277197680506,Ongoing,2018-07-28,1,756,Personal,Anticipated,2,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,8.5
11156103277197680506,ended,2018-06-18,0,796,Personal,Anticipated,2,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,8.5
11156103277197680506,Ongoing,2018-07-27,0,757,Health,Anticipated,2,3,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,8.5
11156103277197680506,Ongoing,2018-06-24,1,790,Personal,Anticipated,1,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,8.5
11156103277197680506,Ongoing,2018-07-15,0,769,Personal,Anticipated,1,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,10.25
11156103277197680506,Ongoing,2018-07-09,1,775,Personal,Anticipated,1,3,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,10.25
11156103277197680506,Ongoing,2018-07-09,0,775,Work,Unanticipated,2,3,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,10.25
11329586216091316598,Ongoing,2018-07-14,0,770,Personal,Anticipated,2,2,54.0,Female,34.0,15.0,4.583333333,4.75,4.416666667,4.833333333,1.333333333,40.0,12.0,23.0,4.0,College Degree,7.25
11329586216091316598,Ongoing,2018-06-12,1,802,Personal,Unanticipated,2,2,54.0,Female,34.0,15.0,4.583333333,4.75,4.416666667,4.833333333,1.333333333,40.0,12.0,23.0,4.0,College Degree,9.0
13543308681200334026,Ongoing,2018-07-22,0,762,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,8.5
